"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3,U2";"LM3915_PDIP";2;"LM3915";;;
2;"U1";"lm358";1;"LM358";;;
3;"R21,R20,R15,R14";"R_0805_2012Metric";4;"1Meg";;;
4;"R19,R18,R17,R16";"R_0805_2012Metric";4;"2k";;;
5;"R13,R6,R5";"R_0805_2012Metric";3;"20k";;;
6;"R12";"R_0805_2012Metric";1;"31.6k";;;
7;"R11";"R_0805_2012Metric";1;"10k";;;
8;"R10,R8";"R_0805_2012Metric";2;"47k";;;
9;"R9,R7";"R_0805_2012Metric";2;"100k";;;
10;"R4,R2";"R_0805_2012Metric";2;"332";;;
11;"R3,R1";"R_0805_2012Metric";2;"1k";;;
12;"MK1";"screw_terminal";1;"MIC";;;
13;"J1";"screw_terminal";1;"Screw_Terminal_01x02";;;
14;"D6,D5,D4,D3";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
15;"D2,D1";"LED_bar_graph";2;"LED_bar_graph";;;
16;"C13,C12";"C_0805_2012Metric";2;"0.1u";;;
17;"C11,C10,C9,C8";"C_0805_2012Metric";4;"4.7u";;;
18;"C7";"C_0805_2012Metric";1;"0.47u";;;
19;"C6";"C_0805_2012Metric";1;".47u";;;
20;"C5,C4";"C_0805_2012Metric";2;"47n";;;
21;"C3";"C_0805_2012Metric";1;"22u";;;
22;"C2,C1";"C_0805_2012Metric";2;"2.2u";;;
